2024-04-28 12:03:49.952 +02:00 [INF] Test info channel
2024-04-28 12:03:52.396 +02:00 [INF] Request Ip=::1 Url=/ Time=425.086
2024-04-28 12:03:52.466 +02:00 [INF] Request Ip=::1 Url=/static/css/site.css Time=004.055
2024-04-28 12:03:52.466 +02:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=000.440
2024-04-28 12:03:52.467 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=001.208
2024-04-28 12:03:52.466 +02:00 [INF] Request Ip=::1 Url=/static/assets/logo.png Time=000.405
2024-04-28 12:03:52.560 +02:00 [INF] Request Ip=::1 Url=/static/js/baseDomManagement.js Time=001.409
2024-04-28 12:03:52.560 +02:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=000.207
2024-04-28 12:03:52.779 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=002.687
2024-04-28 12:03:52.888 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=008.214
2024-04-28 12:11:43.715 +02:00 [INF] Request Ip=::1 Url=/ Time=020.176
2024-04-28 12:11:43.737 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=470838.487
2024-04-28 12:11:43.760 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.996
2024-04-28 12:11:43.768 +02:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=001.820
2024-04-28 12:11:44.442 +02:00 [INF] Request Ip=::1 Url=/static/js/baseDomManagement.js Time=000.424
2024-04-28 12:11:44.468 +02:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=026.431
2024-04-28 12:11:45.803 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.596
2024-04-28 12:11:46.507 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.489
2024-04-28 12:11:47.839 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=001.051
2024-04-28 12:49:36.957 +02:00 [INF] Test info channel
2024-04-28 12:49:40.894 +02:00 [INF] Request Ip=::1 Url=/ Time=370.971
2024-04-28 12:49:40.961 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=003.073
2024-04-28 12:49:41.102 +02:00 [INF] Request Ip=::1 Url=/static/js/announcementManagement.js Time=017.812
2024-04-28 12:49:43.063 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=004.458
2024-04-28 12:49:45.126 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=007.965
2024-04-28 13:22:41.205 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=1976072.188
2024-04-28 13:22:43.284 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.492
2024-04-28 13:54:29.116 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=1905826.206
2024-04-28 14:05:12.635 +02:00 [INF] Test info channel
2024-04-28 14:06:29.513 +02:00 [INF] Request Ip=::1 Url=/favicon.ico Time=001.253
2024-04-28 14:06:50.262 +02:00 [INF] Test info channel
2024-04-28 14:48:38.839 +02:00 [INF] Test info channel
2024-04-28 14:52:55.931 +02:00 [INF] Test info channel
2024-04-28 14:55:56.420 +02:00 [INF] Request Ip=127.0.0.1 Url=/favicon.ico Time=002.101
2024-04-28 14:56:29.119 +02:00 [INF] Test info channel
2024-04-28 15:01:47.752 +02:00 [INF] Request Ip=::1 Url=/ Time=169.639
2024-04-28 15:01:47.976 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=004.578
2024-04-28 15:01:48.002 +02:00 [INF] Request Ip=::1 Url=/static/js/announcementManagement.js Time=020.371
2024-04-28 15:01:48.314 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=003.239
2024-04-28 15:01:48.518 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=006.802
2024-04-28 15:01:48.692 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=162.916
2024-04-28 15:02:21.314 +02:00 [INF] Request Ip=::1 Url=/ Time=107.022
2024-04-28 15:02:21.347 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.804
2024-04-28 15:02:21.390 +02:00 [INF] Request Ip=::1 Url=/static/js/announcementManagement.js Time=014.161
2024-04-28 15:02:21.561 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.346
2024-04-28 15:02:21.687 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.565
2024-04-28 15:02:21.741 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=046.406
2024-04-28 15:02:23.636 +02:00 [INF] Request Ip=::1 Url=/ Time=087.057
2024-04-28 15:02:23.672 +02:00 [INF] Request Ip=::1 Url=/static/css/site.css Time=001.019
2024-04-28 15:02:23.685 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=009.769
2024-04-28 15:02:23.690 +02:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=015.032
2024-04-28 15:02:23.693 +02:00 [INF] Request Ip=::1 Url=/static/assets/logo.png Time=017.901
2024-04-28 15:02:23.709 +02:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.css Time=034.626
2024-04-28 15:02:23.809 +02:00 [INF] Request Ip=::1 Url=/static/js/baseDomManagement.js Time=028.215
2024-04-28 15:02:23.827 +02:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.js Time=053.823
2024-04-28 15:02:23.882 +02:00 [INF] Request Ip=::1 Url=/static/js/announcementManagement.js Time=000.632
2024-04-28 15:02:23.940 +02:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=018.781
2024-04-28 15:02:24.025 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.187
2024-04-28 15:02:24.112 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.252
2024-04-28 15:02:24.147 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=031.575
2024-04-28 15:02:24.253 +02:00 [INF] Request Ip=::1 Url=/static/assets/logo.png Time=001.034
2024-04-28 15:03:01.628 +02:00 [INF] Request Ip=::1 Url=/ Time=095.679
2024-04-28 15:03:01.667 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.999
2024-04-28 15:03:01.716 +02:00 [INF] Request Ip=::1 Url=/static/js/announcementManagement.js Time=018.380
2024-04-28 15:03:02.018 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.229
2024-04-28 15:03:02.125 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.421
2024-04-28 15:04:02.548 +02:00 [INF] Request Ip=::1 Url=/ Time=090.337
2024-04-28 15:04:02.563 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=60332.504
2024-04-28 15:04:02.593 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.457
2024-04-28 15:04:02.632 +02:00 [INF] Request Ip=::1 Url=/static/js/announcementManagement.js Time=000.309
2024-04-28 15:04:02.937 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.200
2024-04-28 15:04:03.054 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.390
2024-04-28 15:04:12.219 +02:00 [INF] Request Ip=::1 Url=/ Time=096.989
2024-04-28 15:04:12.233 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=9148.209
2024-04-28 15:04:12.260 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.255
2024-04-28 15:04:12.281 +02:00 [INF] Request Ip=::1 Url=/static/js/announcementManagement.js Time=000.598
2024-04-28 15:04:12.425 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.244
2024-04-28 15:04:12.517 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.350
2024-04-28 15:04:33.092 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=20547.559
2024-04-28 15:04:33.084 +02:00 [INF] Request Ip=::1 Url=/ Time=092.007
2024-04-28 15:04:33.119 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.368
2024-04-28 15:04:33.119 +02:00 [INF] Request Ip=::1 Url=/static/js/announcementManagement.js Time=000.456
2024-04-28 15:04:33.257 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.168
2024-04-28 15:04:33.347 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.285
2024-04-28 15:06:06.217 +02:00 [INF] Request Ip=::1 Url=/ Time=095.431
2024-04-28 15:06:06.230 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=92878.107
2024-04-28 15:06:06.258 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.280
2024-04-28 15:06:06.280 +02:00 [INF] Request Ip=::1 Url=/static/js/announcementManagement.js Time=000.438
2024-04-28 15:06:06.585 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.174
2024-04-28 15:06:06.716 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.235
2024-04-28 15:06:16.553 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=9797.206
2024-04-28 15:06:16.538 +02:00 [INF] Request Ip=::1 Url=/ Time=098.841
2024-04-28 15:06:16.576 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.351
2024-04-28 15:06:16.773 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.135
2024-04-28 15:06:16.875 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.318
2024-04-28 15:06:27.216 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=10334.239
2024-04-28 15:06:27.209 +02:00 [INF] Request Ip=::1 Url=/ Time=100.376
2024-04-28 15:06:27.241 +02:00 [INF] Request Ip=::1 Url=/static/js/announcementManagement.js Time=000.436
2024-04-28 15:06:27.241 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.533
2024-04-28 15:06:27.385 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.117
2024-04-28 15:06:27.482 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.203
2024-04-28 15:11:30.248 +02:00 [INF] Request Ip=::1 Url=/ Time=366.625
2024-04-28 15:11:30.287 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=302794.705
2024-04-28 15:11:30.344 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.188
2024-04-28 15:11:30.361 +02:00 [INF] Request Ip=::1 Url=/static/js/announcementManagement.js Time=000.430
2024-04-28 15:11:30.536 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.201
2024-04-28 15:11:30.688 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.373
2024-04-28 15:11:31.775 +02:00 [INF] Request Ip=::1 Url=/ Time=087.107
2024-04-28 15:11:31.791 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=1095.593
2024-04-28 15:11:31.819 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.999
2024-04-28 15:11:31.967 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.168
2024-04-28 15:11:32.084 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.244
2024-04-28 15:12:52.791 +02:00 [INF] Request Ip=::1 Url=/ Time=094.047
2024-04-28 15:12:52.799 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=80699.425
2024-04-28 15:12:52.821 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.189
2024-04-28 15:12:52.841 +02:00 [INF] Request Ip=::1 Url=/static/js/announcementManagement.js Time=000.285
2024-04-28 15:12:53.154 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.145
2024-04-28 15:12:53.248 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.204
2024-04-28 15:13:44.352 +02:00 [INF] Request Ip=::1 Url=/ Time=089.063
2024-04-28 15:13:44.365 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=51110.558
2024-04-28 15:13:44.394 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.705
2024-04-28 15:13:44.730 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.127
2024-04-28 15:13:44.836 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.228
2024-04-28 15:14:46.773 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=61928.769
2024-04-28 15:14:46.763 +02:00 [INF] Request Ip=::1 Url=/ Time=091.426
2024-04-28 15:14:46.797 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.179
2024-04-28 15:14:46.813 +02:00 [INF] Request Ip=::1 Url=/static/js/announcementManagement.js Time=000.880
2024-04-28 15:14:47.098 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.391
2024-04-28 15:14:47.183 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.736
2024-04-28 15:14:49.014 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=1827.553
2024-04-28 15:14:49.005 +02:00 [INF] Request Ip=::1 Url=/ Time=084.844
2024-04-28 15:14:49.037 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.192
2024-04-28 15:14:49.179 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.102
2024-04-28 15:14:49.274 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.184
2024-04-28 15:14:50.339 +02:00 [INF] Request Ip=::1 Url=/ Time=095.644
